,S,B,C,L
2018-07-10,0.3674966080987769,1.97046659976759e-17,0.178762636696368,0.4537407552048551
2018-07-11,0.3661366155308111,0.0,0.17671432986983873,0.4571490545993501
2018-07-12,0.37550593108246816,7.12107279071911e-18,0.1480364561892361,0.4764576127282958
2018-07-13,0.3679946693117253,0.0,0.15019429316914618,0.48181103751912857
2018-07-16,0.3761883408578153,2.843659010522137e-17,0.1438350370115137,0.479976622130671
2018-07-17,0.38576541840494477,0.0,0.13281085613275206,0.48142372546230316
2018-07-18,0.3997810582795413,0.0,0.12734010040689836,0.47287884131356034
2018-07-19,0.39731971409160965,8.200138135699163e-20,0.13031618029996006,0.47236410560843023
2018-07-20,0.4012114781620083,8.810939799875836e-18,0.12799731606282028,0.4707912057751715
2018-07-23,0.3915100324911373,7.452195869943334e-18,0.15214835396932438,0.45634161353953834
2018-07-24,0.4029619038987215,1.0590683395629259e-17,0.15025868905337364,0.4467794070479048
2018-07-25,0.4063192129488626,0.0,0.1472590623559251,0.4464217246952124
2018-07-26,0.40563482651716964,0.0,0.13958039439880118,0.45478477908402914
2018-07-27,0.4224834096288689,0.0,0.11628121844655247,0.4612353719245787
2018-07-30,0.4145269404706314,1.3010426069826053e-17,0.12003502479404235,0.4654380347353263
2018-07-31,0.40086218459700323,2.994230459373655e-17,0.1314338693423513,0.4677039460606454
2018-08-01,0.38606152367473645,4.309198343805307e-18,0.14259496380048087,0.4713435125247827
2018-08-02,0.40299874186135465,1.5677566226554478e-17,0.13593957910160073,0.46106167903704465
2018-08-03,0.4046586292831247,0.0,0.13213531630004266,0.4632060544168327
2018-08-06,0.40087668333959137,6.5852526164203674e-18,0.13357926690432928,0.46554404975607927
2018-08-07,0.3984491796941115,1.4207106774820397e-17,0.13229151778157958,0.469259302524309
2018-08-08,0.4000840341554891,0.0,0.13167948810500474,0.4682364777395063
2018-08-09,0.3676739415869163,5.9789938164312925e-19,0.1347951270178532,0.4975309313952305
2018-08-10,0.3791928120428674,0.0,0.14275268556068318,0.4780545023964494
2018-08-13,0.39475378293841284,0.0,0.13323678669453173,0.47200943036705545
2018-08-14,0.3881350679079707,0.0,0.13772761490270932,0.47413731718932
2018-08-15,0.3681792142526737,0.0,0.1462325426577896,0.4855882430895368
2018-08-16,0.36028554494724313,3.916680348103885e-18,0.14142395695251198,0.49829049810024495
2018-08-17,0.3468569635628596,1.1609265373569493e-18,0.14633629967085965,0.5068067367662807
2018-08-20,0.32845147463489,2.8272016637507128e-18,0.15096192968541572,0.5205865956796943
2018-08-21,0.3295306483651252,1.9481080741462217e-18,0.15329817093343082,0.517171180701444
2018-08-22,0.33036646278197973,0.0,0.15267919009683978,0.5169543471211805
2018-08-23,0.342018049778336,3.0137432263308e-18,0.14524686841076265,0.5127350818109013
2018-08-24,0.34492557433206683,3.2291011495382727e-18,0.14246136121518171,0.5126130644527515
2018-08-27,0.352224611389419,0.0,0.12911190095685202,0.5186634876537289
2018-08-28,0.3532862312634808,0.0,0.1318309814957091,0.51488278724081
2018-08-29,0.36084059684328734,5.1112101432099335e-18,0.12896907032081,0.5101903328359028
2018-08-30,0.3622421417221795,1.0882836836789564e-17,0.12602111784699999,0.5117367404308205
2018-08-31,0.3519542430854328,3.80099241760811e-18,0.12569666651659936,0.5223490903979678
2018-09-04,0.35187802559952097,0.0,0.1297478799028853,0.5183740944975938
2018-09-05,0.3527246906960561,0.0,0.13350038211919438,0.5137749271847495
2018-09-06,0.36982458703482085,0.0,0.13562234341327645,0.4945530695519028
2018-09-07,0.3669609913673417,2.513414387756508e-19,0.13718432622754334,0.4958546824051148
2018-09-10,0.31624907850763406,0.0,0.17421369461576752,0.5095372268765984
2018-09-11,0.3227382035397474,9.546061315555965e-19,0.17144844716960433,0.5058133492906483
2018-09-12,0.3220882930618711,0.0,0.17355731981639197,0.504354387121737
2018-09-13,0.31563337575898953,9.012430558785756e-19,0.17973237089011845,0.504634253350892
2018-09-14,0.30359517387323826,0.0,0.1876132526003959,0.5087915735263658
2018-09-17,0.3232732418805131,9.035428781623642e-20,0.17741159718723734,0.4993151609322496
2018-09-18,0.33263403272416203,0.0,0.17053290956687475,0.4968330577089632
2018-09-19,0.32845749800595464,5.956759201565867e-19,0.1787328091579147,0.4928096928361307
2018-09-20,0.32319711714110544,4.750969086055029e-19,0.1839955465742705,0.49280733628462403
2018-09-21,0.2787406018601428,0.16148800814361813,0.1930121740066736,0.3667592159895655
2018-09-24,0.24923383629612347,0.3193983708388593,0.16380576881577844,0.2675620240492388
2018-09-25,0.24282095147279664,0.34169236852117707,0.16196008117633057,0.25352659882969564
2018-09-26,0.21664661021496648,0.3625590423213287,0.17913350449154133,0.24166084297216345
2018-09-27,0.21465951213171602,0.3831727851221188,0.17481333013968833,0.22735437260647684
2018-09-28,0.21016216330803333,0.40967690264968215,0.1702194509891753,0.20994148305310928
2018-10-01,0.19622210789786507,0.449745393041328,0.16462714876726128,0.18940535029354566
2018-10-02,0.25206538495598185,0.21958297269876173,0.18953763881148544,0.33881400353377095
2018-10-03,0.24128178139322123,0.26745177392662933,0.17364951735687637,0.317616927323273
2018-10-04,0.24453950086979623,0.24495882412415998,0.1963851782355792,0.3141164967704646
2018-10-05,0.28217613797206736,0.06602127171067637,0.23468061532117146,0.41712197499608483
2018-10-08,0.2628906434512783,0.09489167742506886,0.24156703766754828,0.4006506414561046
2018-10-09,0.26929461875118155,0.08792306901915774,0.24349773279538367,0.3992845794342771
2018-10-10,0.27893188352417725,0.20202816146107325,0.204033679273546,0.31500627574120355
2018-10-11,0.14997131241498177,0.48095928003607513,0.1635029052269484,0.20556650232199472
2018-10-12,0.17746369732592848,0.2255511635481142,0.21448820479774083,0.38249693432821635
2018-10-15,0.2096085077839794,0.02679583081699526,0.24912395051969652,0.5144717108793289
2018-10-16,0.19922706724441727,0.09923232673837047,0.23211649290311392,0.4694241131140984
2018-10-17,0.1626660328259934,0.1706901328754259,0.23685062378772245,0.42979321051085834
2018-10-18,0.19603472527982452,0.05910051373031995,0.24639593603255538,0.49846882495730016
2018-10-19,0.1965616067390583,0.0,0.25931056046392986,0.5441278327970118
2018-10-22,0.20069933332262793,0.0,0.24978394957823774,0.5495167170991344
2018-10-23,0.18894089298097233,4.336808689942018e-19,0.2554164552257408,0.5556426517932869
2018-10-24,0.18485576671253312,2.176874674443552e-19,0.25069175876593464,0.5644524745215324
2018-10-25,0.18356588744102617,0.10520803071210481,0.21295509549899266,0.4982709863478764
2018-10-26,0.18860505221894178,0.11345407001047396,0.20764927031599234,0.49029160745459194
2018-10-29,0.1930970670696315,0.20626882135928445,0.1782626962157992,0.4223714153552849
